"id","consent_s1_r1_e1","redcapData_s1_r1_e1","pavloviaData_s1_r1_e1","zoomData_s1_r1_e1","demo_b_s1_r1_e1","stai5_s1_r1_e1","bfne_b_s1_r1_e1","aq10_s1_r1_e1","bmis_s1_r1_e1","phq8_s1_r1_e1","panasnow_s1_r1_e1","scaared_b_s1_r1_e1","erq_s1_r1_e1","sias6sps6_b_s1_r1_e1","ari_s1_r1_e1","stai5_scrdS_s1_r1_e1","stai5_scrdT_s1_r1_e1","bfne_scrdTotal_s1_r1_e1","aq10_scrdTotal_s1_r1_e1","bmis_scrdVal_s1_r1_e1","phq8_scrdTotal_s1_r1_e1","panasnow_scrdPA_s1_r1_e1","panasnow_scrdNA_s1_r1_e1","scaared_scrdTotal_s1_r1_e1","erq_scrdCogRea_s1_r1_e1","erq_scrdExpSup_s1_r1_e1","sias6sps6_scrdSIAS_s1_r1_e1","sias6sps6_scrdSPS_s1_r1_e1","ari_scrdRaw_s1_r1_e1","ari_scrdProrat_s1_r1_e1","readAloudChallenge_s1_r1_e1","ldt_s1_r1_e1","dccs_s1_r1_e1","readAloudTiming_s1_r1_e1","readAloudPitch_s1_r1_e1","readAloudDisfluencies_s1_r1_e1"
150001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
150002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
150003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
150004,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,"0","0","1",NA,NA,NA
150005,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,"1","1","1",NA,NA,NA
150006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
150007,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,"1","1","1",NA,NA,NA
150008,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,"1","1","1",NA,NA,NA
150009,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,"1","1","1",NA,NA,NA
150010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
150011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
