stimWord,valenceKousta
accident,negative
act,neutral
aerial,neutral
affection,positive
aisle,neutral
apology,neutral
berry,positive
blame,negative
boot,neutral
bother,negative
brother,positive
burner,neutral
business,neutral
butter,neutral
cancer,negative
cash,positive
cause,neutral
champion,positive
circuit,neutral
circus,positive
cologne,positive
confusion,negative
corpse,negative
crime,negative
culture,positive
debt,negative
deputy,neutral
destroy,negative
diamond,positive
dimension,neutral
disease,negative
dispute,negative
dozen,neutral
echo,neutral
education,positive
emergency,negative
enemy,negative
error,negative
failure,negative
fatigue,negative
finance,neutral
gloom,negative
glory,positive
gospel,neutral
grade,neutral
graduate,positive
gun,negative
hay,neutral
hell,negative
hero,positive
history,neutral
hunger,negative
jail,negative
joke,positive
joy,positive
leader,positive
liberty,positive
liquor,neutral
lust,positive
margin,neutral
meadow,positive
measles,negative
measure,neutral
medicine,neutral
misery,negative
missile,negative
murder,negative
music,positive
mustard,neutral
nature,positive
note,neutral
oath,neutral
ounce,neutral
pain,negative
payment,neutral
peace,positive
pet,positive
pillow,positive
poison,negative
pressure,negative
rescue,positive
revenue,positive
reward,positive
riot,negative
salary,positive
scent,positive
scholar,positive
segment,neutral
sin,negative
slave,negative
slime,negative
smell,neutral
soldier,neutral
sphere,neutral
substance,neutral
success,positive
sum,neutral
tax,negative
terror,negative
thrill,positive
tobacco,negative
torture,negative
trend,neutral
trouble,negative
union,positive
veal,neutral
victory,positive
volcano,neutral
wage,positive
waltz,positive
weapon,negative
win,positive
winter,neutral
ulcer,negative
jewel,positive
ether,neutral
thief,negative
feast,positive
rabbi,neutral
